#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
5447	POR	441	1.77	[{'HP:0000343': 0.3}, {'HP:0000369': 0.4}, {'HP:0001195': 0.4}]	[{'Long philtrum': 0.3}, {'Low-set ears': 0.4}, {'Single umbilical artery': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
55027	HEATR3	442	1.77	[{'HP:0000347': 0.4}, {'HP:0001629': 0.3}, {'HP:0001508': 0.1}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.4}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.1}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
9939	RBM8A	443	1.77	[{'HP:0000347': 0.4}, {'HP:0001629': 0.4}, {'HP:0000369': 0.3}]	[{'Micrognathia': 0.4}, {'Ventricular septal defect': 0.4}, {'Low-set ears': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
129285	PPP1R21	444	1.77	[{'HP:0000540': 0.2}, {'HP:0000347': 0.1}, {'HP:0001629': 0.1}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.1}, {'Ventricular septal defect': 0.1}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
4659	PPP1R12A	445	1.76	[{'HP:0011723': 0.1}, {'HP:0000540': 0.3}, {'HP:0000347': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.3}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5080	PAX6	446	1.76	[{'HP:0011723': 0.1}, {'HP:0000540': 0.2}, {'HP:0000347': 0.4}, {'HP:0000819': 0.4}, {'HP:0001629': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.4}, {'Ventricular septal defect': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6774	STAT3	447	1.76	[{'HP:0000347': 0.1}, {'HP:0000819': 0.7}, {'HP:0001508': 0.4}]	[{'Micrognathia': 0.1}, {'Diabetes mellitus': 0.7}, {'Failure to thrive': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
55624	POMGNT1	448	1.76	[{'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0000369': 0.2}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Low-set ears': 0.2}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
22884	WDR37	449	1.76	[{'HP:0001629': 0.3}, {'HP:0001508': 0.1}, {'HP:0000343': 0.1}, {'HP:0000369': 0.3}, {'HP:0000476': 0.4}]	[{'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.1}, {'Low-set ears': 0.3}, {'Cystic hygroma': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
1801	DPH1	450	1.76	[{'HP:0000347': 0.4}, {'HP:0001629': 0.3}, {'HP:0000369': 0.5}]	[{'Micrognathia': 0.4}, {'Ventricular septal defect': 0.3}, {'Low-set ears': 0.5}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
196528	ARID2	451	1.75	[{'HP:0000540': 0.1}, {'HP:0000347': 0.3}, {'HP:0001629': 0.3}, {'HP:0000343': 0.1}, {'HP:0000369': 0.3}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.3}, {'Ventricular septal defect': 0.3}, {'Long philtrum': 0.1}, {'Low-set ears': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6492	SIM1	452	1.75	[{'HP:0000347': 0.2}, {'HP:0000819': 0.3}, {'HP:0001508': 0.2}, {'HP:0000369': 0.2}, {'HP:0001328': 0.3}]	[{'Micrognathia': 0.2}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.2}, {'Low-set ears': 0.2}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
10060	ABCC9	453	1.75	[{'HP:0011723': 0.1}, {'HP:0000343': 0.5}, {'HP:0000476': 0.2}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Long philtrum': 0.5}, {'Cystic hygroma': 0.2}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
4921	DDR2	454	1.75	[{'HP:0000347': 0.4}, {'HP:0000343': 0.5}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.4}, {'Long philtrum': 0.5}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
55697	VAC14	455	1.75	[{'HP:0000347': 0.2}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
7403	KDM6A	456	1.75	[{'HP:0000347': 0.2}, {'HP:0001629': 0.2}, {'HP:0001508': 0.4}, {'HP:0000369': 0.2}, {'HP:0001195': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.2}, {'Failure to thrive': 0.4}, {'Low-set ears': 0.2}, {'Single umbilical artery': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
54496	PRMT7	457	1.75	[{'HP:0000540': 0.1}, {'HP:0001508': 0.1}, {'HP:0000343': 0.5}, {'HP:0000476': 0.1}, {'HP:0001328': 0.4}]	[{'Hypermetropia': 0.1}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.5}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
1487	CTBP1	458	1.74	[{'HP:0000347': 0.2}, {'HP:0001629': 0.2}, {'HP:0001508': 0.2}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.2}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
9851	KIAA0753	459	1.74	[{'HP:0000540': 0.2}, {'HP:0000347': 0.2}, {'HP:0001508': 0.2}, {'HP:0000343': 0.2}, {'HP:0000369': 0.4}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.2}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.2}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
55650	PIGV	460	1.74	[{'HP:0000540': 0.3}, {'HP:0000347': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.1}, {'HP:0000476': 0.1}, {'HP:0001195': 0.3}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.1}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
64919	BCL11B	461	1.74	[{'HP:0000540': 0.5}, {'HP:0000347': 0.3}, {'HP:0000343': 0.4}, {'HP:0000369': 0.1}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.5}, {'Micrognathia': 0.3}, {'Long philtrum': 0.4}, {'Low-set ears': 0.1}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
9091	PIGQ	462	1.74	[{'HP:0000540': 0.3}, {'HP:0000347': 0.3}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.3}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5830	PEX5	463	1.74	[{'HP:0000347': 0.2}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6925	TCF4	464	1.74	[{'HP:0000540': 0.2}, {'HP:0000819': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.1}, {'HP:0000476': 0.1}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.2}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.1}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
8405	SPOP	465	1.74	[{'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0001508': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.3}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
1282	COL4A1	466	1.74	[{'HP:0011723': 0.1}, {'HP:0000540': 0.5}, {'HP:0000347': 0.1}, {'HP:0000369': 0.2}, {'HP:0001195': 0.3}, {'HP:0001328': 0.3}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.5}, {'Micrognathia': 0.1}, {'Low-set ears': 0.2}, {'Single umbilical artery': 0.3}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
9742	IFT140	467	1.73	[{'HP:0000347': 0.2}, {'HP:0000819': 0.3}, {'HP:0001508': 0.1}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.3}]	[{'Micrognathia': 0.2}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
22930	RAB3GAP1	468	1.73	[{'HP:0000347': 0.4}, {'HP:0001508': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001195': 0.1}]	[{'Micrognathia': 0.4}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
54968	TMEM70	469	1.73	[{'HP:0000347': 0.3}, {'HP:0001508': 0.4}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}]	[{'Micrognathia': 0.3}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
529	ATP6V1E1	470	1.73	[{'HP:0000540': 0.1}, {'HP:0001508': 0.2}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Hypermetropia': 0.1}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
9409	PEX16	471	1.73	[{'HP:0000347': 0.2}, {'HP:0001629': 0.4}, {'HP:0001508': 0.4}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.4}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
585	BBS4	472	1.73	[{'HP:0000540': 0.1}, {'HP:0000819': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.1}, {'Diabetes mellitus': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
2146	EZH2	473	1.73	[{'HP:0000347': 0.3}, {'HP:0000343': 0.5}, {'HP:0000369': 0.2}, {'HP:0001195': 0.1}]	[{'Micrognathia': 0.3}, {'Long philtrum': 0.5}, {'Low-set ears': 0.2}, {'Single umbilical artery': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5193	PEX12	474	1.73	[{'HP:0000347': 0.2}, {'HP:0001629': 0.3}, {'HP:0001508': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
8621	CDK13	475	1.73	[{'HP:0011723': 0.1}, {'HP:0001629': 0.5}, {'HP:0000343': 0.1}, {'HP:0000369': 0.3}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.1}, {'Low-set ears': 0.3}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
26276	VPS33B	476	1.72	[{'HP:0000347': 0.3}, {'HP:0001629': 0.3}, {'HP:0001508': 0.4}, {'HP:0000369': 0.3}]	[{'Micrognathia': 0.3}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.4}, {'Low-set ears': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
23312	DMXL2	477	1.72	[{'HP:0000540': 0.1}, {'HP:0000819': 0.5}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000369': 0.1}]	[{'Hypermetropia': 0.1}, {'Diabetes mellitus': 0.5}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Low-set ears': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
132320	SCLT1	478	1.72	[{'HP:0000540': 0.1}, {'HP:0000819': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.1}, {'Diabetes mellitus': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
7466	WFS1	479	1.72	[{'HP:0000819': 0.9}, {'HP:0001508': 0.1}, {'HP:0000369': 0.1}]	[{'Diabetes mellitus': 0.9}, {'Failure to thrive': 0.1}, {'Low-set ears': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
58	ACTA1	480	1.72	[{'HP:0000347': 0.2}, {'HP:0001629': 0.1}, {'HP:0001508': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.1}, {'Failure to thrive': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
168667	BMPER	481	1.72	[{'HP:0000347': 0.4}, {'HP:0000369': 0.7}, {'HP:0000476': 0.3}]	[{'Micrognathia': 0.4}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5648	MASP1	482	1.71	[{'HP:0000347': 0.1}, {'HP:0001629': 0.3}, {'HP:0000369': 0.2}, {'HP:0001195': 0.3}]	[{'Micrognathia': 0.1}, {'Ventricular septal defect': 0.3}, {'Low-set ears': 0.2}, {'Single umbilical artery': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6514	SLC2A2	483	1.71	[{'HP:0000819': 0.7}, {'HP:0001508': 0.5}]	[{'Diabetes mellitus': 0.7}, {'Failure to thrive': 0.5}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
83737	ITCH	484	1.71	[{'HP:0000347': 0.1}, {'HP:0000819': 0.3}, {'HP:0001508': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.4}]	[{'Micrognathia': 0.1}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
1654	DDX3X	485	1.71	[{'HP:0000347': 0.2}, {'HP:0001629': 0.1}, {'HP:0001508': 0.1}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.1}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
91147	TMEM67	486	1.71	[{'HP:0011723': 0.1}, {'HP:0000347': 0.4}, {'HP:0001629': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
91754	NEK9	487	1.71	[{'HP:0000347': 0.3}, {'HP:0001629': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.3}, {'Ventricular septal defect': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6299	SALL1	488	1.71	[{'HP:0011723': 0.1}, {'HP:0000347': 0.2}, {'HP:0001629': 0.4}, {'HP:0001508': 0.2}, {'HP:0000369': 0.2}]	[{'Congenital malformation of the right heart': 0.1}, {'Micrognathia': 0.2}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.2}, {'Low-set ears': 0.2}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
8092	ALX1	489	1.71	[{'HP:0000540': 0.1}, {'HP:0001508': 0.1}, {'HP:0000343': 0.3}, {'HP:0000369': 0.8}]	[{'Hypermetropia': 0.1}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.3}, {'Low-set ears': 0.8}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
161742	SPRED1	490	1.71	[{'HP:0000347': 0.4}, {'HP:0000369': 0.3}, {'HP:0000476': 0.1}, {'HP:0001328': 0.7}]	[{'Micrognathia': 0.4}, {'Low-set ears': 0.3}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.7}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5428	POLG	491	1.71	[{'HP:0000540': 0.1}, {'HP:0000819': 0.3}, {'HP:0001508': 0.5}, {'HP:0000343': 0.1}, {'HP:0000369': 0.1}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.1}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.5}, {'Long philtrum': 0.1}, {'Low-set ears': 0.1}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
2188	FANCF	492	1.71	[{'HP:0000540': 0.1}, {'HP:0000347': 0.2}, {'HP:0001508': 0.2}, {'HP:0001195': 0.4}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.2}, {'Failure to thrive': 0.2}, {'Single umbilical artery': 0.4}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
4952	OCRL	493	1.7	[{'HP:0000347': 0.2}, {'HP:0001629': 0.1}, {'HP:0001508': 0.4}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.1}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
4750	NEK1	494	1.7	[{'HP:0000540': 0.5}, {'HP:0000347': 0.2}, {'HP:0001629': 0.3}]	[{'Hypermetropia': 0.5}, {'Micrognathia': 0.2}, {'Ventricular septal defect': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
2175	FANCA	495	1.7	[{'HP:0000540': 0.3}, {'HP:0000347': 0.2}, {'HP:0000819': 0.3}, {'HP:0001508': 0.1}, {'HP:0001195': 0.1}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.2}, {'Diabetes mellitus': 0.3}, {'Failure to thrive': 0.1}, {'Single umbilical artery': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
4633	MYL2	496	1.7	[{'HP:0011723': 0.1}, {'HP:0000347': 0.2}, {'HP:0001629': 0.4}, {'HP:0001508': 0.2}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Micrognathia': 0.2}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.2}, {'Specific learning disability': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
29920	PYCR2	497	1.7	[{'HP:0001508': 0.6}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}]	[{'Failure to thrive': 0.6}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6135	RPL11	498	1.69	[{'HP:0000347': 0.2}, {'HP:0001629': 0.4}, {'HP:0001508': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Micrognathia': 0.2}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
5297	PI4KA	499	1.69	[{'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0001629': 0.3}, {'HP:0001328': 0.4}]	[{'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.3}, {'Specific learning disability': 0.4}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
2623	GATA1	500	1.69	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.3}, {'HP:0001629': 0.3}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.3}, {'Ventricular septal defect': 0.3}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
84720	PIGO	501	1.69	[{'HP:0000540': 0.3}, {'HP:0000347': 0.2}, {'HP:0001629': 0.1}, {'HP:0000343': 0.1}, {'HP:0000476': 0.1}, {'HP:0001195': 0.3}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.2}, {'Ventricular septal defect': 0.1}, {'Long philtrum': 0.1}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
7170	TPM3	502	1.69	[{'HP:0000347': 0.5}, {'HP:0001508': 0.3}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}]	[{'Micrognathia': 0.5}, {'Failure to thrive': 0.3}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
1182	CLCN3	503	1.69	[{'HP:0000540': 0.2}, {'HP:0000347': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
51053	GMNN	504	1.68	[{'HP:0000347': 0.4}, {'HP:0001508': 0.4}, {'HP:0000369': 0.2}, {'HP:0001328': 0.3}]	[{'Micrognathia': 0.4}, {'Failure to thrive': 0.4}, {'Low-set ears': 0.2}, {'Specific learning disability': 0.3}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6949	TCOF1	505	1.68	[{'HP:0011723': 0.1}, {'HP:0000347': 0.6}, {'HP:0001508': 0.2}, {'HP:0000369': 0.1}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Micrognathia': 0.6}, {'Failure to thrive': 0.2}, {'Low-set ears': 0.1}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
23394	ADNP	506	1.68	[{'HP:0000540': 0.5}, {'HP:0001508': 0.1}, {'HP:0000343': 0.2}, {'HP:0000369': 0.2}]	[{'Hypermetropia': 0.5}, {'Failure to thrive': 0.1}, {'Long philtrum': 0.2}, {'Low-set ears': 0.2}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
6091	ROBO1	507	1.68	[{'HP:0000540': 0.3}, {'HP:0000347': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.1}, {'HP:0000369': 0.1}, {'HP:0000476': 0.1}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.1}, {'Low-set ears': 0.1}, {'Cystic hygroma': 0.1}]	C - the phenotype is reported with limited association with the gene, not highly specific and/or with high genetic heterogeneity.
